arrival_to_far_corner_m,area_m2,address_rows,unit_rows,distinct_house_numbers,street,example_address,example_address_last,arrival_lat,arrival_lng,site_centre_lat,site_centre_lng
367.0,102767,1,0,1,Hickstead,3531 Hickstead Ave,3531 Hickstead Ave,49.301430,-122.736000,49.303143,-122.736664
367.0,61753,1,0,1,Cedar,4150 Cedar Dr,4150 Cedar Dr,49.288651,-122.729420,49.287169,-122.728246
366.2,122923,266,265,1,Cayer,201 Cayer St,201 Cayer St 99,49.235749,-122.846731,49.234811,-122.846653
363.9,11267,1,0,1,Barnet,2777 Barnet Hwy,2777 Barnet Hwy,49.277845,-122.806246,49.280066,-122.805890
360.6,7706,1,0,1,Quarry,4940 Quarry Rd,4940 Quarry Rd,49.325910,-122.672328,49.323720,-122.670484
356.3,60493,3,0,3,Poirier,550 Poirier St,578 Poirier St,49.253788,-122.846513,49.252702,-122.848321
356.1,46210,1,0,1,Parkway,1450 Parkway Blvd,1450 Parkway Blvd,49.296558,-122.805611,49.295368,-122.807266
355.6,87534,1,0,1,United,995 United Blvd,995 United Blvd,49.229128,-122.871596,49.230346,-122.872057
355.6,48515,1,0,1,Conifer,3496 Conifer Dr,3496 Conifer Dr,49.308418,-122.744605,49.306538,-122.743309
355.1,1733,1,0,1,Burbidge,4 Burbidge St,4 Burbidge St,49.223569,-122.823768,49.222188,-122.825892
353.6,30189,1,0,1,Charland,1900 Charland Ave,1900 Charland Ave,49.247872,-122.842134,49.246479,-122.842138
352.4,14803,1,0,1,Charland,1850 Charland Ave,1850 Charland Ave,49.247862,-122.843320,49.246901,-122.843025
350.3,50074,2,1,1,Pinetree,1250 Pinetree Way,1250 Pinetree Way 101,49.288726,-122.790390,49.288067,-122.792485
350.2,40878,1,0,1,Harper,3501 Harper Rd,3501 Harper Rd,49.303598,-122.742774,49.304851,-122.740644
347.9,80791,3,0,3,King Albert,1080 Winslow Ave,1121 King Albert Ave,49.251442,-122.862204,49.253156,-122.861127
346.4,37525,1,0,1,Wellon,1290 Wellon St,1290 Wellon St,49.291475,-122.723491,49.290196,-122.725307
